hidden_dim,iteration,rel_norms
50,0,"[0, 4.32802607974736e-06, 1.613592576177325e-05, 3.270321394666098e-05, 5.156598490430042e-05, 7.242515857797116e-05, 9.399962436873466e-05, 0.00011532340431585908, 0.00013654869690071791, 0.0001559181255288422, 0.00017357998876832426, 0.00019079535559285432, 0.00020713689445983618, 0.00022093707229942083, 0.00023606493778061122, 0.0002474686480127275, 0.0002625175111461431, 0.0002795624022837728, 0.0003010007494594902, 0.00032772409031167626, 0.0003593703731894493, 0.000397136842366308, 0.00044530638842843473, 0.0005114574450999498, 0.000584292400162667, 0.0006826198077760637, 0.0007982804672792554, 0.0009379773982800543, 0.0010974580654874444, 0.0012906653573736548, 0.001512722810730338, 0.0017875044140964746, 0.002097537973895669, 0.0024540461599826813, 0.002875886857509613, 0.0033217505551874638, 0.0038484586402773857, 0.0044305576011538506, 0.005000125616788864, 0.005655674263834953, 0.006393276154994965, 0.007238614372909069, 0.008174790069460869, 0.009237319231033325, 0.010363816283643246, 0.011590680107474327, 0.012797020375728607, 0.014266159385442734, 0.01583009772002697, 0.01753489300608635, 0.019308706745505333]"
50,1,"[0, 1.5516121493419632e-05, 5.0918250053655356e-05, 0.00010859769827220589, 0.00019042784697376192, 0.0002886859292630106, 0.0004085377440787852, 0.0005344805540516973, 0.0006730887689627707, 0.0008241147152148187, 0.0009838188998401165, 0.001152169774286449, 0.0013372761895880103, 0.0015306982677429914, 0.0017350789858028293, 0.001956157386302948, 0.0021910718642175198, 0.002430548192933202, 0.002680271863937378, 0.002941753249615431, 0.003215963952243328, 0.0035085566341876984, 0.003822460537776351, 0.004175193607807159, 0.004526078235358, 0.004919857252389193, 0.005324376281350851, 0.005761613603681326, 0.006214997265487909, 0.006707712076604366, 0.007217641919851303, 0.007762379478663206, 0.008341409265995026, 0.008982435800135136, 0.009681783616542816, 0.01044230256229639, 0.011220022104680538, 0.012036122381687164, 0.012910253368318081, 0.01387104857712984, 0.014959177933633327, 0.016067035496234894, 0.01716182567179203, 0.018455980345606804, 0.019825292751193047, 0.02132921665906906, 0.022783450782299042, 0.024429837241768837, 0.026241032406687737, 0.028019743040204048, 0.030020972713828087]"
50,2,"[0, 8.82171661942266e-06, 3.2999985705828294e-05, 7.016712334007025e-05, 0.00012001636059721932, 0.00017660483717918396, 0.00023907911963760853, 0.00031365477479994297, 0.0003883024037349969, 0.000465353368781507, 0.0005432131583802402, 0.0006217018817551434, 0.0006996757001616061, 0.0007763040484860539, 0.0008526579476892948, 0.0009255739278160036, 0.0009951447136700153, 0.0010647226590663195, 0.0011356390314176679, 0.0012024258030578494, 0.0012717967620119452, 0.0013376299757510424, 0.0014011218445375562, 0.001469819457270205, 0.0015393600333482027, 0.0016135949408635497, 0.0016937055625021458, 0.0017791080754250288, 0.0018769946182146668, 0.001979188760742545, 0.002089607995003462, 0.002216004068031907, 0.00236057979054749, 0.002518794499337673, 0.002707828301936388, 0.002911254530772567, 0.0031428993679583073, 0.0033800469245761633, 0.0036691923160105944, 0.003994768485426903, 0.004362478386610746, 0.004754832945764065, 0.005184280686080456, 0.005644639953970909, 0.006164690479636192, 0.006742360070347786, 0.007373616099357605, 0.008059847168624401, 0.008812853135168552, 0.009682721458375454, 0.010572515428066254]"
50,3,"[0, 4.546882337308489e-06, 1.494568550697295e-05, 3.5296765418024734e-05, 6.57788768876344e-05, 0.00011024936975445598, 0.00016788450011517853, 0.00025128715788014233, 0.00035003054654225707, 0.0004744477919302881, 0.0006169260013848543, 0.0007953178137540817, 0.0009888793574646115, 0.0012252047890797257, 0.0014861782547086477, 0.001802316983230412, 0.002189695369452238, 0.002621397841721773, 0.003083322662860155, 0.003611111780628562, 0.0041710929945111275, 0.004793835338205099, 0.005547760520130396, 0.006271630059927702, 0.007068189792335033, 0.008001047186553478, 0.008979417383670807, 0.010036185383796692, 0.011211727745831013, 0.0124856261536479, 0.01389996986836195, 0.015389936976134777, 0.01705804280936718, 0.018847888335585594, 0.020435068756341934, 0.022302253171801567, 0.024535445496439934, 0.026851240545511246, 0.029104508459568024, 0.03166374936699867, 0.03417413681745529, 0.03674008697271347, 0.03972485288977623, 0.04280456528067589, 0.046372342854738235, 0.049890510737895966, 0.053808942437171936, 0.05794902518391609, 0.062156904488801956, 0.06671090424060822, 0.07007389515638351]"
50,4,"[0, 4.356349563749973e-06, 1.4278153685154393e-05, 2.8803464374504983e-05, 4.8835401685209945e-05, 7.165436545619741e-05, 9.744053386384621e-05, 0.00012742185208480805, 0.00016107609553728253, 0.00019778286514338106, 0.00023822765797376633, 0.0002837697393260896, 0.00033112778328359127, 0.00038461139774881303, 0.0004471073916647583, 0.0005140379071235657, 0.0005924197612330317, 0.0006704011466354132, 0.0007702393340878189, 0.0008801495423540473, 0.0010062383953481913, 0.0011437332723289728, 0.0012934041442349553, 0.0014740157639607787, 0.0016790955560281873, 0.0018912249943241477, 0.002142594661563635, 0.002424967475235462, 0.0027377037331461906, 0.003074070205911994, 0.003443025751039386, 0.0038585166912525892, 0.004326533526182175, 0.00483018159866333, 0.005366520490497351, 0.005948452744632959, 0.006608230993151665, 0.007330464199185371, 0.008102597668766975, 0.008936340920627117, 0.009811336174607277, 0.010731575079262257, 0.011732946150004864, 0.012861461378633976, 0.014019106514751911, 0.015335657633841038, 0.016741247847676277, 0.018239649012684822, 0.019839799031615257, 0.021516351029276848, 0.02321142703294754]"
50,5,"[0, 6.365767603710992e-06, 1.7454985936637968e-05, 3.2756983273429796e-05, 5.557442273129709e-05, 8.499054092681035e-05, 0.00012447405606508255, 0.00017262922483496368, 0.0002343464584555477, 0.00030885403975844383, 0.0003910749510396272, 0.0004949754220433533, 0.0006201207870617509, 0.0007587794680148363, 0.000935843912884593, 0.0011253750417381525, 0.0013387307990342379, 0.0016084426315501332, 0.001901506446301937, 0.0022297222167253494, 0.002593274461105466, 0.00299394060857594, 0.003438828978687525, 0.003974403720349073, 0.004546484909951687, 0.005195640958845615, 0.005926630925387144, 0.00671550165861845, 0.007545161060988903, 0.008506574667990208, 0.0095724081620574, 0.01073860190808773, 0.01193053275346756, 0.013282996602356434, 0.014737341552972794, 0.016294201835989952, 0.017921926453709602, 0.019790885969996452, 0.0217891838401556, 0.02386474423110485, 0.026150256395339966, 0.02859041653573513, 0.031218737363815308, 0.03393649309873581, 0.03701786324381828, 0.04020528867840767, 0.04311778396368027, 0.046625129878520966, 0.05021382123231888, 0.053987715393304825, 0.05819234997034073]"
50,6,"[0, 5.5926720960997045e-06, 1.8121261746273376e-05, 3.7327277823351324e-05, 6.590201519429684e-05, 0.00010530423605814576, 0.00015930613153614104, 0.0002235855208709836, 0.0003087776422034949, 0.0004121782258152962, 0.0005346706020645797, 0.0006721901590935886, 0.0008479355601593852, 0.0010373260593041778, 0.0012641133507713675, 0.0015476855915039778, 0.0018578359158709645, 0.0022051429841667414, 0.002577258041128516, 0.002969019813463092, 0.0034100161865353584, 0.003896998940035701, 0.004423833917826414, 0.00502425292506814, 0.00563493836671114, 0.006356033496558666, 0.007147395517677069, 0.008006714284420013, 0.008914411067962646, 0.009911620989441872, 0.010878595523536205, 0.012021675705909729, 0.01316906325519085, 0.014554059132933617, 0.015998758375644684, 0.01748351752758026, 0.018932560458779335, 0.02052295207977295, 0.02235567383468151, 0.024216433987021446, 0.026184478774666786, 0.028225835412740707, 0.03066575713455677, 0.033078886568546295, 0.03564843162894249, 0.0381983146071434, 0.0409751795232296, 0.04399091377854347, 0.04716693237423897, 0.050608471035957336, 0.05435911938548088]"
50,7,"[0, 5.148884156369604e-06, 1.937929482664913e-05, 4.1877789044519886e-05, 7.350690430030227e-05, 0.0001119348089559935, 0.00015725550474599004, 0.00021061627194285393, 0.00027191280969418585, 0.00033753804746083915, 0.00041497196070849895, 0.0004975036717951298, 0.0005925963632762432, 0.0006981776678003371, 0.0008126104366965592, 0.0009384493459947407, 0.0010632267221808434, 0.001214090851135552, 0.0013709359336644411, 0.0015595316654071212, 0.0017437759088352323, 0.0019716233946383, 0.0022200532257556915, 0.0024813618510961533, 0.0027821725234389305, 0.003117576939985156, 0.0034756241366267204, 0.003871405962854624, 0.00432986207306385, 0.004810146521776915, 0.005300790537148714, 0.005862209480255842, 0.006448031403124332, 0.007105414289981127, 0.007739388849586248, 0.008506439626216888, 0.009220169857144356, 0.0100470669567585, 0.010996310040354729, 0.012022847309708595, 0.013096424750983715, 0.01424485631287098, 0.015469011850655079, 0.01676790975034237, 0.01820288598537445, 0.019750559702515602, 0.021247204393148422, 0.022728877142071724, 0.02456185780465603, 0.02647218480706215, 0.02850235626101494]"
50,8,"[0, 3.54566464011441e-06, 1.5168161553447135e-05, 3.607009057304822e-05, 7.074898894643411e-05, 0.0001169145034509711, 0.00017930085596162826, 0.0002628312213346362, 0.00036094547249376774, 0.0004932162119075656, 0.0006461768643930554, 0.0008401339291594923, 0.001073211431503296, 0.0013306295732036233, 0.001644843490794301, 0.001984032103791833, 0.002407216001302004, 0.0028365186881273985, 0.0033477437682449818, 0.003920943941920996, 0.004600816871970892, 0.0053019775077700615, 0.006084376480430365, 0.006964555475860834, 0.007889123633503914, 0.00891125574707985, 0.010088770650327206, 0.011393658816814423, 0.012615999206900597, 0.013843252323567867, 0.015461803413927555, 0.017131462693214417, 0.018934572115540504, 0.020999165251851082, 0.023007722571492195, 0.025228574872016907, 0.02771143428981304, 0.03031911328434944, 0.033006198704242706, 0.036048248410224915, 0.03866821154952049, 0.0418381541967392, 0.0451536700129509, 0.048825688660144806, 0.05248652398586273, 0.056790538132190704, 0.061079636216163635, 0.06554737687110901, 0.0702289417386055, 0.07516881823539734, 0.08021701872348785]"
50,9,"[0, 4.254076429788256e-06, 1.5442077710758895e-05, 3.312440458103083e-05, 5.463980050990358e-05, 8.190710650524125e-05, 0.00011316844029352069, 0.00015032249211799353, 0.00019057221652474254, 0.00023670271912124008, 0.0002862079709302634, 0.00034097908064723015, 0.0004027646209578961, 0.0004710129869636148, 0.0005438909865915775, 0.0006164350779727101, 0.0007034314912743866, 0.0008005854324437678, 0.0009110502433031797, 0.001032999949529767, 0.0011676622088998556, 0.001320657436735928, 0.001486882334575057, 0.0016739304410293698, 0.00188286358024925, 0.002112815622240305, 0.002364862710237503, 0.002651583170518279, 0.0029557649977505207, 0.0033044074662029743, 0.003679431974887848, 0.004103600047528744, 0.004534084349870682, 0.005044340156018734, 0.005591357592493296, 0.006224194075912237, 0.006899724248796701, 0.007620020769536495, 0.008399002254009247, 0.009216120466589928, 0.010128811001777649, 0.01106321346014738, 0.012084788642823696, 0.013240471482276917, 0.014415700919926167, 0.015697095543146133, 0.016935499384999275, 0.018367107957601547, 0.01989174075424671, 0.021563779562711716, 0.023307768628001213]"
