out_channels,iteration,rel_norms
16,0,"[0, 3.081759569756315e-10, 8.780100535510371e-10, 1.5709502587668567e-09, 2.4477424531710312e-09, 3.5704856848894906e-09, 4.939383568824951e-09, 7.587119377205909e-09, 9.207670181865524e-09, 1.1198926230804318e-08, 1.3542398313859394e-08]"
16,1,"[0, 2.1016455242772736e-09, 8.280161445384238e-09, 1.708526831123436e-08, 2.991898995219344e-08, 4.695130684240212e-08, 1.3414272871159483e-05, 1.3444114301819354e-05, 1.348613659502007e-05, 1.3525439499062486e-05, 1.3565984772867523e-05]"
16,2,"[0, 2.2199803106914828e-10, 6.784425243822056e-10, 1.0768868019539468e-09, 1.4556190697234683e-09, 2.126521181367025e-09, 2.9291573611089916e-09, 2.8226525046193274e-06, 2.823195472956286e-06, 4.016855200461578e-06, 4.019368134322576e-06]"
16,3,"[0, 1.9358035174832366e-09, 7.255589462573653e-09, 1.5526349983474574e-08, 2.7301046756633696e-08, 4.051047497455329e-08, 5.679160253180271e-08, 7.74859287844265e-08, 1.0245142334497359e-07, 1.4192766684573144e-05, 1.422358491254272e-05]"
16,4,"[0, 4.270087838875725e-09, 1.7020541420720292e-08, 3.9207701973964504e-08, 6.9553017567614e-08, 1.0625275592701655e-07, 1.522582948609852e-07, 2.070561890832323e-07, 2.6659418495000864e-07, 3.351162263243168e-07, 4.1306506659566367e-07]"
16,5,"[0, 9.531494482573066e-10, 3.4886449284954324e-09, 7.150768421837483e-09, 1.2615998024045894e-08, 1.913988256774246e-08, 2.8441652588639954e-08, 3.8488803255631865e-08, 3.4480106592127413e-07, 3.566717055036861e-07, 3.7001836972194724e-07]"
16,6,"[0, 6.310264810682753e-11, 2.58216531490163e-10, 4.869189496048421e-10, 8.096759929188124e-10, 1.1012573075674936e-09, 1.4857302055304444e-09, 1.8152489511535919e-09, 2.2759323314858193e-09, 2.812498234305849e-09, 3.4015723571201306e-09]"
16,7,"[0, 4.955948429419266e-10, 2.222072303936784e-09, 4.653053498060444e-09, 7.654577416360553e-09, 1.070787813972629e-08, 1.0437515385319784e-07, 1.1061272431334146e-07, 1.165409955206087e-07, 1.2347365441200964e-07, 1.3119979769271595e-07]"
16,8,"[0, 2.1625792268054056e-09, 8.07066591335115e-09, 1.803651628051739e-08, 3.088517175342531e-08, 5.112464407375228e-08, 7.14089694042741e-08, 2.5917686343746027e-06, 2.6280806650902377e-06, 1.4597405424865428e-05, 1.463180706195999e-05]"
16,9,"[0, 1.3827525791043627e-09, 4.770274841803257e-09, 1.046234476831387e-08, 1.758134438034631e-08, 2.834092640568997e-07, 2.949033728327777e-07, 3.0893460234437953e-07, 3.2428087592961674e-07, 4.1958622887250385e-07, 4.387224237234477e-07]"
