hidden_dim,iteration,rel_norms
250,0,"[0, 1.0521605808833101e-10, 4.2357445328988774e-10, 9.528123845470304e-10, 1.6970579386210716e-09, 2.6452431356460693e-09, 3.823317218376587e-09, 5.183896423233136e-09, 6.781565087266017e-09, 8.578432186823193e-09, 1.056636200758021e-08, 1.278939265603185e-08, 7.67239816923393e-06, 7.678413567191456e-06, 7.684663614782039e-06, 7.691213795624208e-06, 4.3920983443968e-05, 4.392115806695074e-05, 4.3921387259615585e-05, 4.392166738398373e-05, 4.392210394144058e-05]"
250,1,"[0, 2.6542795739104008e-11, 1.0204182637751913e-10, 2.289997635962493e-10, 4.123885954943063e-10, 6.505536109813193e-10, 6.191593456605915e-06, 6.191497504914878e-06, 6.1914593061374035e-06, 6.1914633988635615e-06, 9.97669394564582e-06, 9.976643013942521e-06, 9.976600267691538e-06, 9.9766321000061e-06, 9.976803085010033e-06, 9.976990440918598e-06, 9.977219633583445e-06, 9.977475201594643e-06, 9.977880836231634e-06, 9.978350135497749e-06, 9.97873030428309e-06]"
250,2,"[0, 3.269354231782984e-11, 1.2614537192590092e-10, 2.824117051325459e-10, 4.97021979128931e-10, 7.770155074915408e-10, 1.1212004658034402e-09, 1.5254630891803345e-09, 5.728516043745913e-06, 5.729180429625558e-06, 5.7299421314382926e-06, 5.730662905989448e-06, 5.731537839892553e-06, 5.732435056415852e-06, 5.733469151891768e-06, 5.7345123423147015e-06, 5.735626928071724e-06, 5.736812909162836e-06, 5.7380052567168605e-06, 5.73931811231887e-06, 5.740629148931475e-06]"
250,3,"[0, 1.0281228646213947e-10, 8.725084626348689e-05, 8.726060332264751e-05, 8.727044041734189e-05, 8.72796299518086e-05, 8.729041292099282e-05, 8.730067202122882e-05, 8.731109119253233e-05, 8.73217431944795e-05, 8.73323151608929e-05, 8.734311995794997e-05, 8.73540120664984e-05, 8.7365711806342e-05, 8.737751340959221e-05, 8.73892058734782e-05, 8.740073099033907e-05, 8.741314377402887e-05, 8.742545469431207e-05, 8.743808575673029e-05, 8.745105878915638e-05]"
250,4,"[0, 1.054650117238154e-11, 4.013928425750102e-11, 8.944137791511153e-11, 1.561024781659981e-10, 2.419085487481709e-10, 3.485921551416027e-10, 4.713986423432459e-10, 6.134504570987076e-10, 7.770891707892247e-10, 9.618984497805627e-10, 1.1604431859879583e-09, 1.379891645392206e-09, 1.6196304297722008e-09, 1.8811907587235055e-09, 2.0446512280614115e-05, 2.0446645066840574e-05, 2.044665234279819e-05, 2.0446785129024647e-05, 2.0446777853067033e-05, 2.0446841517696157e-05]"
250,5,"[0, 4.0301758458261006e-11, 1.5746505488412055e-10, 3.5076350157758895e-10, 6.195649548956794e-10, 9.679627099856702e-10, 1.390536463752312e-09, 1.8870944806792522e-09, 2.4564437151042284e-09, 3.1124058885723116e-09, 3.834200956731593e-09, 4.631685257550089e-09, 5.423048423836008e-05, 5.424093978945166e-05, 5.4250853281700984e-05, 5.4261170589597896e-05, 5.427141877589747e-05, 5.4281837947200984e-05, 5.4292129789246246e-05, 5.4302578064380214e-05, 5.4313310101861134e-05]"
250,6,"[0, 3.0663457883939316e-11, 1.1996433013639063e-10, 2.65417493539033e-10, 4.635812289599528e-10, 7.225562370649641e-10, 2.782909405141254e-06, 2.9707471185247414e-05, 2.9708389774896204e-05, 2.9709770387853496e-05, 2.9710974558838643e-05, 2.9712364266742952e-05, 2.9713595722569153e-05, 2.9714859920204617e-05, 2.9716478820773773e-05, 2.971801586681977e-05, 2.971955473185517e-05, 2.9721148166572675e-05, 2.9722634280915372e-05, 2.9724209525738843e-05, 2.972584479721263e-05]"
250,7,"[0, 3.450348687317195e-11, 1.3307703550236027e-10, 2.934690823686026e-10, 5.241759803986668e-10, 8.183105859593809e-10, 1.1793087617562037e-09, 1.604995247816987e-09, 2.082483741006058e-09, 2.619727768049529e-09, 3.231857892416201e-09, 3.9174437027611475e-09, 4.656449892337378e-09, 5.468620223325615e-09, 6.33550545359185e-09, 1.0415261385787744e-05, 1.0418134479550645e-05, 1.0421165825391654e-05, 1.0424158062960487e-05, 1.0427369488752447e-05, 1.0430507245473564e-05]"
250,8,"[0, 1.216254527647287e-11, 4.6514788548668307e-11, 1.0212467677073178e-10, 1.8048171290807602e-10, 2.828982048619366e-10, 4.029792610715788e-10, 5.446109674345223e-10, 7.086863318406245e-10, 8.952549257479347e-10, 1.1029118729410925e-09, 1.3341984184123135e-09, 1.5864335400905816e-09, 1.8640118337742706e-09, 2.1543931083556345e-09, 2.472809290665623e-09, 2.8073607882816987e-09, 3.1811031586670424e-09, 3.564021522350913e-09, 3.9688372588386756e-09, 4.395855679462102e-09]"
250,9,"[0, 2.3220887712671612e-10, 9.162867131706776e-10, 2.054106884585849e-09, 3.648075841411469e-09, 5.699401839365237e-09, 8.200433221361436e-09, 1.1179880132772269e-08, 2.4952878447948024e-05, 2.4960518203442916e-05, 2.4968734578578733e-05, 2.4977174689411186e-05, 5.6958549976116046e-05, 5.695885920431465e-05, 6.0783855587942526e-05, 6.078392834751867e-05, 6.078436490497552e-05, 6.07850743108429e-05, 6.078595106373541e-05, 6.078757724026218e-05, 6.0789821873186156e-05]"
