hidden_dim,iteration,rel_norms
64,0,"[0, 1.5960716837071232e-06, 6.2895414885133505e-06, 1.4111620657786261e-05, 2.5055132937268354e-05, 3.8982456317171454e-05, 5.5972552218008786e-05, 7.587904838146642e-05, 9.87354651442729e-05, 0.00012475327821448445, 0.0001535566698294133, 0.00018524184997659177, 0.00021956514683552086, 0.0002568407799117267, 0.00029705039924010634, 0.0003401098947506398, 0.00038578262319788337, 0.0004340616869740188, 0.000485631957417354, 0.0005393743049353361, 0.0005966693861410022, 0.0006562220514751971, 0.0007186033180914819, 0.0007839489844627678, 0.0008505270816385746, 0.0009195349994115531, 0.00099159125238657, 0.0010661175474524498, 0.0011429872829467058, 0.0012229998828843236, 0.0013045899104326963, 0.001389417564496398, 0.0014763601357117295, 0.0015658168122172356, 0.0016575040062889457, 0.001750784576870501, 0.001847072271630168, 0.0019457245944067836, 0.002046221634373069, 0.00214867084287107, 0.002253580605611205, 0.0023612806107848883, 0.0024708115961402655, 0.002584915142506361, 0.002698473632335663, 0.0028145993128418922, 0.0029331431724131107, 0.0030538688879460096, 0.003176139434799552, 0.003300799522548914, 0.00342840445227921]"
64,1,"[0, 2.318260885658674e-05, 8.986082684714347e-05, 0.00019927730318158865, 0.0003527939843479544, 0.0005481184343807399, 0.0007871119887568057, 0.0010688452748581767, 0.0013888736721128225, 0.0017505519790574908, 0.0021620767656713724, 0.0026037737261503935, 0.003094864310696721, 0.0036268241237848997, 0.004201981704682112, 0.004806692712008953, 0.005467750132083893, 0.006154253613203764, 0.0068734209053218365, 0.007641591597348452, 0.008445853367447853, 0.009300743229687214, 0.010173104703426361, 0.011093106120824814, 0.012056742794811726, 0.013044157065451145, 0.01406521163880825, 0.015125141479074955, 0.016229839995503426, 0.017338033765554428, 0.018506301566958427, 0.01970997452735901, 0.02093355916440487, 0.022201944142580032, 0.0235004760324955, 0.02483825758099556, 0.026218831539154053, 0.027616655454039574, 0.029035575687885284, 0.030500240623950958, 0.031989410519599915, 0.03352769464254379, 0.03509720787405968, 0.03668268769979477, 0.03832339495420456, 0.039981745183467865, 0.041666291654109955, 0.0433913879096508, 0.04517379030585289, 0.04691849648952484, 0.04873116686940193]"
64,2,"[0, 9.907330240821466e-05, 0.00020594202214851975, 0.00023398363555315882, 0.00024271644360851496, 0.00025105185341089964, 0.00028577010380104184, 0.00024737941566854715, 0.0002620928280521184, 0.0003306599101051688, 0.0003360605041962117, 0.0003517391160130501, 0.00035757763544097543, 0.0006017463747411966, 0.0006399053381755948, 0.0007816082797944546, 0.0008933606441132724, 0.0008818776113912463, 0.0010725453030318022, 0.001594988745637238, 0.0018130579264834523, 0.0010123280808329582, 0.001505445223301649, 0.0014869546284899116, 0.0014853832544758916, 0.0015105137135833502, 0.0016562329838052392, 0.001687913085334003, 0.0017113129142671824, 0.0017423046519979835, 0.001746402122080326, 0.0017901929095387459, 0.0017810427816584706, 0.0016608851728960872, 0.0016740888822823763, 0.0020474963821470737, 0.001956566935405135, 0.0020165720488876104, 0.002092782175168395, 0.002094253897666931, 0.002146064070984721, 0.0021586879156529903, 0.0021646555978804827, 0.0018217647448182106, 0.0018214263254776597, 0.0019007802475243807, 0.0019991593435406685, 0.0020971503108739853, 0.002133052796125412, 0.0020425438415259123, 0.0021713338792324066]"
64,3,"[0, 3.80009112177504e-07, 1.4809911590418778e-06, 3.2974694477161393e-06, 5.820772003062302e-06, 9.021040568768512e-06, 1.2869621059508063e-05, 1.7443811884731986e-05, 2.270849290653132e-05, 2.841317473212257e-05, 3.488175934762694e-05, 4.19606949435547e-05, 4.967840141034685e-05, 5.7938847021432593e-05, 6.685125845251605e-05, 7.638437091372907e-05, 8.647498907521367e-05, 9.714657062431797e-05, 0.00010828050290001556, 0.00011994130909442902, 0.000132159490021877, 0.00014488131273537874, 0.00015827098104637116, 0.0001720897707855329, 0.0001861926430137828, 0.0002009813324548304, 0.0002162831515306607, 0.0002320246130693704, 0.00024829714675433934, 0.00026486365823075175, 0.00028191503952257335, 0.0002994885726366192, 0.00031747325556352735, 0.000335614662617445, 0.00035431794822216034, 0.0003733234480023384, 0.0003927760408259928, 0.00041303824400529265, 0.00043333167559467256, 0.0004538826469797641, 0.0004748840001411736, 0.0004959690268151462, 0.0005177628481760621, 0.0005397953209467232, 0.000562103174161166, 0.0005847628926858306, 0.0006079594604671001, 0.0006312784971669316, 0.0006547575467266142, 0.0006787946913391352, 0.0007030473207123578]"
64,4,"[0, 7.296266062439827e-07, 2.8429499252524693e-06, 6.622529326705262e-06, 1.1537557838892099e-05, 1.7617321645957418e-05, 2.4922403099481016e-05, 3.357513196533546e-05, 4.356947465566918e-05, 5.439350934466347e-05, 6.665112596238032e-05, 8.006038115127012e-05, 9.491373930359259e-05, 0.00011069518222939223, 0.00012786718434654176, 0.00014616087719332427, 0.00016601983224973083, 0.00018596011796034873, 0.0002068349567707628, 0.0002298378967680037, 0.00025329869822598994, 0.0002781410585157573, 0.000304113986203447, 0.0003309957101009786, 0.00035890110302716494, 0.00038770982064306736, 0.0004171499458607286, 0.00044794820132665336, 0.00047892105067148805, 0.0005114063969813287, 0.0005446212599053979, 0.0005791819421574473, 0.0006147737731225789, 0.0006510388921014965, 0.0006876868428662419, 0.0007253815419971943, 0.0007649543113075197, 0.0008049507741816342, 0.0008460443932563066, 0.0008876679930835962, 0.0009305236162617803, 0.000972845999058336, 0.0010165178682655096, 0.001061301096342504, 0.0011064584832638502, 0.0011533921351656318, 0.0012010924983769655, 0.001249700435437262, 0.0012989806709811091, 0.0013493410078808665, 0.0013988957507535815]"
64,5,"[0, 5.524285825231345e-06, 2.075545853585936e-05, 4.5468463213182986e-05, 7.851727423258126e-05, 0.0001251834910362959, 0.0001767349021974951, 0.00023929777671582997, 0.00030906969914212823, 0.0003886474878527224, 0.0004749343788716942, 0.0005749987321905792, 0.0006787502788938582, 0.0007966618286445737, 0.000919109326787293, 0.00105052359867841, 0.0011868535075336695, 0.001332065905444324, 0.0014811515575274825, 0.0016438974998891354, 0.0018168555106967688, 0.0019941837526857853, 0.0021807500161230564, 0.0023741747718304396, 0.0025854099076241255, 0.002788593526929617, 0.0030021648854017258, 0.00322996499016881, 0.003454968798905611, 0.0036865542642772198, 0.003931931219995022, 0.004177846945822239, 0.004415665753185749, 0.004680670332163572, 0.004954786039888859, 0.005230099894106388, 0.005518780089914799, 0.005801463034003973, 0.006095498334616423, 0.0063991728238761425, 0.006753501016646624, 0.007071866188198328, 0.007398656569421291, 0.007723684888333082, 0.008054866455495358, 0.00839965045452118, 0.008750536479055882, 0.009090702049434185, 0.009439455345273018, 0.00981843750923872, 0.010171440429985523]"
64,6,"[0, 1.0195053619099781e-05, 3.766868758248165e-05, 8.465412975056097e-05, 0.00014654427650384605, 0.00021441206627059728, 0.0002595719415694475, 0.00032720243325456977, 0.0003835837123915553, 0.00047587830340489745, 0.0005722661153413355, 0.0007062212680466473, 0.0008158526034094393, 0.0009310955065302551, 0.0010824635392054915, 0.0012222988298162818, 0.0014686845242977142, 0.0015989261446520686, 0.0018045807955786586, 0.0019938212353736162, 0.0021773932967334986, 0.002357824705541134, 0.0025533917360007763, 0.0027331954333931208, 0.0029245309997349977, 0.0031541376374661922, 0.0034052173141390085, 0.003630773164331913, 0.0038787531666457653, 0.00418587401509285, 0.00445956876501441, 0.004680037498474121, 0.004949683789163828, 0.005190236493945122, 0.005502952262759209, 0.0058053298853337765, 0.006084058433771133, 0.006361931096762419, 0.0067486451007425785, 0.007019462529569864, 0.007310814689844847, 0.007636992726475, 0.00793180987238884, 0.008250112645328045, 0.008615799248218536, 0.008896978572010994, 0.009257741272449493, 0.00967605970799923, 0.010051148012280464, 0.010395419783890247, 0.010772684589028358]"
64,7,"[0, 1.0634651516738813e-05, 1.7264752386836335e-05, 2.9412743970169686e-05, 4.394695133669302e-05, 4.685818203142844e-05, 5.962117575109005e-05, 8.458953379886225e-05, 0.00010961703810608014, 0.00015000274288468063, 0.0001791832473827526, 0.00021386526350397617, 0.00024757409119047225, 0.00028006991487927735, 0.00032014588941819966, 0.0003666593402158469, 0.00041762765613384545, 0.000458635448012501, 0.0005026856088079512, 0.0005586929037235677, 0.0006192473811097443, 0.0006903184694238007, 0.0007469939300790429, 0.0008148420602083206, 0.000893051503226161, 0.0010199813405051827, 0.001090788864530623, 0.0011648958316072822, 0.0012739725643768907, 0.0013538273051381111, 0.0014302643248811364, 0.0015267786802724004, 0.001619832357391715, 0.0017187839839607477, 0.0018201692728325725, 0.0019158624345436692, 0.002027951879426837, 0.0021108663640916348, 0.0021665191743522882, 0.002288738265633583, 0.002389076165854931, 0.002508724806830287, 0.002624256070703268, 0.002763219643384218, 0.002874834230169654, 0.0030985919293016195, 0.0032395310699939728, 0.0033734822645783424, 0.0034588342532515526, 0.0037013483233749866, 0.0037946030497550964]"
64,8,"[0, 6.615407528443029e-07, 1.574694579176139e-06, 4.019781044917181e-06, 5.532587692869129e-06, 7.933798769954592e-06, 1.0503072189749219e-05, 1.2850856364821084e-05, 1.52449383676867e-05, 1.8246868421556428e-05, 2.662696897459682e-05, 3.1027302611619234e-05, 3.609971463447437e-05, 4.132413596380502e-05, 4.656930104829371e-05, 5.1889277528971434e-05, 5.9977475757477805e-05, 6.516594294225797e-05, 7.045007077977061e-05, 7.628403545822948e-05, 8.363084634765983e-05, 9.117578156292439e-05, 9.854487143456936e-05, 0.00010906079842243344, 0.00011366666876710951, 0.000122808909509331, 0.00012941348541062325, 0.00013567574205808342, 0.00014676970022264868, 0.00015405584417749196, 0.00016213739581871778, 0.0001715866819722578, 0.00018255217582918704, 0.00019134535978082567, 0.00020121723355259746, 0.00020892196334898472, 0.0002223800984211266, 0.0002334113378310576, 0.00024316302733495831, 0.0002559311978984624, 0.0002664284547790885, 0.00027523544849827886, 0.0002885428548324853, 0.00030319165671244264, 0.00031703204149380326, 0.00033077094121836126, 0.0003462392487563193, 0.00035977346124127507, 0.00037390232319012284, 0.00038384442450478673, 0.0004046171670779586]"
64,9,"[0, 5.127858003106667e-06, 2.1094012481626123e-05, 4.716639523394406e-05, 8.317030005855486e-05, 0.0001284620666410774, 0.00018631957937031984, 0.00025214062770828605, 0.0003287168510723859, 0.0004134336195420474, 0.0005081614363007247, 0.0006131768459454179, 0.0007282794103957713, 0.0008498987299390137, 0.0009841868886724114, 0.0011249082162976265, 0.0012688888236880302, 0.0014223973266780376, 0.0015899487771093845, 0.001762636355124414, 0.0019439425086602569, 0.0021331494208425283, 0.0023245157208293676, 0.002529488643631339, 0.0027425044681876898, 0.0029677909333258867, 0.003192336531355977, 0.003426325274631381, 0.0036613403353840113, 0.003916691057384014, 0.004172302316874266, 0.004437842406332493, 0.004709890577942133, 0.004983041435480118, 0.005261380225419998, 0.0055501461029052734, 0.0058440868742764, 0.006146419793367386, 0.006464675534516573, 0.006786616053432226, 0.00710455933585763, 0.007428966928273439, 0.007759568281471729, 0.00810706615447998, 0.008445868268609047, 0.008793065324425697, 0.009140797890722752, 0.009507706388831139, 0.009871806018054485, 0.010241245850920677, 0.010618559084832668]"
64,10,"[0, 3.026540753126028e-06, 1.0365737580286805e-05, 2.3715670977253467e-05, 4.08337582484819e-05, 6.37192206340842e-05, 9.078587754629552e-05, 0.00012119185703340918, 0.00015472985978703946, 0.00019130554574076086, 0.0002364437677897513, 0.00028625340200960636, 0.0003295835049357265, 0.0003835014358628541, 0.00044315861305221915, 0.0005064174183644354, 0.0005724572692997754, 0.0006435172981582582, 0.000717841146979481, 0.0007977995555847883, 0.0008782183867879212, 0.0009613363072276115, 0.0010451439302414656, 0.00113940320443362, 0.0012292945757508278, 0.0013252584030851722, 0.0014276406727731228, 0.0015329660382121801, 0.0016351655358448625, 0.0017389812273904681, 0.0018511973321437836, 0.001972423167899251, 0.0020886482670903206, 0.0022102410439401865, 0.002339109778404236, 0.0024598008021712303, 0.0025930467527359724, 0.0027278566267341375, 0.0028610501904040575, 0.003001257311552763, 0.003133767284452915, 0.003276242408901453, 0.0034168115817010403, 0.003555307863280177, 0.0037091930862516165, 0.0038555911742150784, 0.004017977975308895, 0.004176388029009104, 0.0043324357829988, 0.004500968847423792, 0.004651800729334354]"
64,11,"[0, 2.4228259007941233e-06, 9.491587661614176e-06, 2.1251362340990454e-05, 3.745219873962924e-05, 5.838543438585475e-05, 8.334357698913664e-05, 0.0001127779032685794, 0.00014998942788224667, 0.00018860115960706025, 0.0002310941636096686, 0.00027824731660075486, 0.0003298530064057559, 0.0003841751313302666, 0.0004420579061843455, 0.000504717172589153, 0.0005711714620701969, 0.0006408864283002913, 0.000714298861566931, 0.0007914172019809484, 0.0008723122882656753, 0.0009581588674336672, 0.001046365243382752, 0.0011375753674656153, 0.0012317568762227893, 0.0013297375990077853, 0.0014301390619948506, 0.0015367758460342884, 0.0016442433698102832, 0.0017548180185258389, 0.0018677071202546358, 0.0019837752915918827, 0.0021036574617028236, 0.0022268134634941816, 0.0023527026642113924, 0.0024798857048153877, 0.00261341012082994, 0.002747921971604228, 0.0028841637540608644, 0.003023178782314062, 0.0031668036244809628, 0.003311523236334324, 0.003459693631157279, 0.003608951112255454, 0.0037632279563695192, 0.003918899688869715, 0.004076038952916861, 0.00423273304477334, 0.004397423006594181, 0.0045617856085300446, 0.004729719366878271]"
64,12,"[0, 2.1514886157092405e-06, 8.267956218332984e-06, 1.7947024389286526e-05, 3.102510891039856e-05, 4.8396821512142196e-05, 6.853893864899874e-05, 9.26641296246089e-05, 0.00012073108518961817, 0.00015203378279693425, 0.00018715900660026819, 0.00022550683934241533, 0.0002685763465706259, 0.000314643228193745, 0.0003639694186858833, 0.000416148075601086, 0.00047253159573301673, 0.0005303109064698219, 0.0005934964865446091, 0.0006593579309992492, 0.0007262899307534099, 0.0007975559565238655, 0.000872779346536845, 0.0009496447164565325, 0.001029478502459824, 0.001113956910558045, 0.001203040243126452, 0.0012922915630042553, 0.0013842589687556028, 0.0014777866890653968, 0.00157746986951679, 0.0016819632146507502, 0.001782464561983943, 0.0018880993593484163, 0.001994843129068613, 0.0021029822528362274, 0.002214269945397973, 0.00233061402104795, 0.0024504552129656076, 0.002571689197793603, 0.0026946021243929863, 0.0028192552272230387, 0.0029461216181516647, 0.003080595750361681, 0.0032148510217666626, 0.0033485067542642355, 0.0034848337527364492, 0.003625420853495598, 0.0037648070137947798, 0.003903079079464078, 0.004046216607093811]"
